UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,RANDOM
0.875883,0.875883,0.875883,0.379402,0.672892,0.11467,0.336409,0.11467,0.34938832
0.875883,0.875883,0.875883,0.336409,0.672892,0.11467,0.11467,0.11467,0.3399177
0.875883,0.875883,0.219358,0.11467,0.672892,0.11467,0.219358,0.11467,0.30984622
0.810469,0.875883,0.219358,0.11467,0.219358,0.11467,0.269713,0.11467,0.25512002
0.810469,0.875883,0.219358,0.219358,0.219358,0.11467,0.269713,0.11467,0.21266992
0.810469,0.875883,0.269713,0.11467,0.219358,0.11467,0.219358,0.11467,0.28017796
0.810469,0.875883,0.672892,0.11467,0.219358,0.11467,0.11467,0.11467,0.22722382
0.76652,0.672892,0.336409,0.11467,0.219358,0.11467,0.219358,0.11467,0.18820114
0.76652,0.672892,0.219358,0.269713,0.219358,0.11467,0.11467,0.11467,0.22565962
0.76652,0.672892,0.219358,0.11467,0.219358,0.11467,0.219358,0.11467,0.2082621
0.76652,0.672892,0.219358,0.11467,0.219358,0.11467,0.11467,0.11467,0.17005576
3.753918,2.903596,2.639099,1.483404,1.280201,1.280201,1.250123,1.356312,1.99983498
3.753918,2.903596,1.458049,0.237135,1.280201,1.280201,1.356312,1.083639,1.71130588
3.753918,2.903596,1.41144,1.083639,1.280201,1.280201,1.442334,1.073239,2.0371451
3.753918,2.903596,1.768714,5.138594,1.280201,1.280201,1.458049,0.237135,1.76493154
3.753918,2.903596,1.287344,1.299308,1.280201,0.182023,1.028118,1.356312,1.43773328
3.753918,2.903596,1.402175,0.237135,1.280201,0.182023,1.299308,0.262967,1.49622558
3.753918,2.903596,1.396941,1.028118,1.280201,0.182023,1.361772,1.087285,1.51991754
3.753918,2.903596,2.62112,0.237135,1.280201,0.182023,1.084247,1.073239,1.42869406
3.753918,2.839805,1.315937,0.542969,1.280201,0.182023,1.073239,0.182023,1.258829
3.753918,0.542969,1.53678,1.230569,1.280201,0.182023,1.056113,0.237135,1.2338771
3.753918,0.542969,1.620895,0.237135,1.280201,0.182023,1.028118,0.262967,1.24007714
3.753918,0.542969,1.499582,1.3277,1.280201,0.182023,1.244149,1.056113,1.2828389
2.443994,0.542969,1.32441,1.056113,1.280201,0.182023,0.683794,1.056113,1.11253358
2.443994,0.542969,1.280201,1.230569,1.280201,0.182023,1.033892,0.182023,1.10162396
2.443994,0.542969,1.324244,0.182023,1.280201,0.182023,0.237135,0.182023,1.18684594
2.44242,0.542969,1.770919,0.182023,1.250123,0.182023,1.084247,1.313398,1.18445944
449.2997603,243.0713253,0.0563875,0.1001045,0.0469876,0.0469876,0.0837335,0.0491893,0.108205064
449.2997603,243.0713253,0.1051227,0.1000718,0.0469876,0.0469876,0.0565042,0.0496902,0.23634801
449.2997603,243.0713253,1.8371399,0.1156335,0.0469876,0.0469876,0.0999305,0.0495154,0.230429964
449.2997603,243.0713253,0.0478393,0.0563875,0.0469876,0.0469876,0.1135796,0.0491893,0.14840797
94.4520103,80.9030157,0.086464,0.0787401,0.0469876,0.0469876,0.0527899,0.0474413,0.0672529
94.4520103,80.9030157,0.0674141,0.077846,0.0469876,0.0469876,0.0850748,0.0496902,0.069339332
94.4520103,80.9030157,0.0684516,0.0605017,0.0469876,0.0469876,0.0590922,0.0461063,0.080061934
94.4520103,80.9030157,0.0658025,0.0571688,0.0469876,0.0469876,0.071334,0.04858,0.068984462
94.4520103,80.9030157,0.0589154,0.0551788,0.0469876,0.0469876,0.0810094,0.0545388,0.069532826
94.4520103,80.9030157,0.0607808,0.0522026,0.0469876,0.0469876,0.0526495,0.0461063,0.067166116
94.4520103,80.9030157,0.071334,0.0787195,0.0469876,0.0469876,0.0826575,0.0460133,0.06050693
94.4520103,80.9030157,0.0624564,0.0820113,0.0469876,0.0469876,0.0593849,0.0474413,0.060895108
58.4015532,58.4015532,0.0710548,0.0474413,0.0469876,0.0469876,0.0690799,0.0495154,0.061006844
58.4015532,58.4015532,0.0645295,0.0487951,0.0469876,0.0469876,0.0585531,0.04858,0.066139142
58.4015532,58.4015532,0.0682086,0.0624299,0.0469876,0.0469876,0.0488282,0.0487951,0.06094198
58.4015532,58.4015532,0.0620339,0.0474413,0.0469876,0.0469876,0.0543866,0.0508796,0.0591521
10.827482,4.007863,1.227798,2.582019,0.617783,0.617783,1.288829,1.16444,1.77219464
10.827482,4.007863,1.749683,0.986301,0.617783,0.617783,0.971681,0.750924,1.6063719
10.827482,4.007863,1.250878,0.617783,0.617783,0.617783,1.307668,0.774452,1.79455126
10.827482,4.007863,3.023679,1.979444,0.617783,0.617783,1.120762,1.411756,1.71434142
4.753351,3.110766,0.953299,0.398281,0.617783,0.617783,1.191363,0.141097,1.2272155
3.276345,3.110766,2.391006,0.745414,0.617783,0.617783,1.120762,0.953299,1.35421694
3.276345,0.940172,1.326984,0.873726,0.617783,0.617783,1.128613,0.551406,1.00201702
3.276345,0.940172,1.353664,0.398281,0.617783,0.617783,0.981872,1.090095,1.22066944
3.276345,0.940172,0.141097,0.141097,0.617783,0.617783,0.857133,0.141097,0.98330128
3.276345,0.940172,1.482676,0.981872,0.617783,0.617783,0.617783,0.398281,1.01391272
2.724604,0.940172,1.120762,0.398281,0.617783,0.141097,0.750924,0.398281,1.06929188
2.724604,0.940172,0.981872,0.141097,0.617783,0.141097,0.617783,0.398281,0.9722683
2.724604,0.940172,0.920082,0.745414,0.617783,0.141097,0.617783,0.500527,0.91123724
2.724604,0.940172,0.940172,0.517268,0.617783,0.141097,0.398281,0.141097,0.8972226
2.724604,0.940172,0.940172,0.141097,0.617783,0.141097,0.951649,0.293556,0.8692823
2.724604,0.940172,0.745414,0.544224,0.617783,0.141097,0.714877,0.141097,0.89192552
4.044769,2.053097,4.044769,0.603871,0.181006,0.181006,0.663517,0.829648,0.91919084
4.044769,2.053097,0.663517,1.395584,0.181006,0.181006,0.603871,0.181006,0.9941982
4.044769,2.053097,0.181006,0.883159,0.181006,0.181006,0.405129,0.829648,0.91949418
4.044769,2.053097,0.66893,0.754207,0.181006,0.181006,0.405088,0.920256,0.90035266
4.044769,0.923609,0.638044,0.638044,0.181006,0.181006,0.409072,0.181006,0.77141466
4.044769,0.923609,0.923609,0.66893,0.181006,0.181006,0.603871,0.405088,0.7272924
4.044769,0.923609,0.409072,0.663517,0.181006,0.181006,0.829648,0.603871,0.7275544
4.044769,0.923609,0.650346,0.906946,0.181006,0.181006,0.181006,0.405088,0.54746084
3.374348,0.923609,0.436379,0.405129,0.181006,0.181006,0.181006,0.405129,0.60699136
3.374348,0.923609,0.829648,0.883159,0.181006,0.181006,0.181006,0.181006,0.5339972
