UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
5361.08503401,3928.18571429,4981.65306122,5173.42176871,5222.45646259,3575.04557823,3589.53673469,5408.41564626,5361.08503401,3965.38231293,3634.56734694,5222.53061224,5222.45646259,3737.14285714,5313.20272109,5300.59555102,jasmine-maven-plugin,16,2.0
5483.44136131,1440.73158164,2977.06282502,3023.31252325,505.770304972,567.164383141,500.141534155,3284.18791626,5483.44136131,1089.18267943,2076.78606213,1198.97415183,505.770304972,594.865778065,3296.49466697,3384.33931656,commons-io,16,2.0
136.759499264,83.7736377025,80.6745213549,113.699558174,120.891752577,71.3081001473,82.2561119293,90.4291605302,136.759499264,78.8824742268,83.1681885125,74.6995581738,120.891752577,69.6443298969,120.509867452,107.707599411,jopt-simple,16,2.0
4459.14960875,4454.69561332,4777.04974202,4467.45345043,4455.64229143,4454.0694143,4453.8395622,4525.26160004,4457.73444855,4454.6847892,4755.64454123,4606.32673793,4454.90442168,4453.58530686,4463.96790239,4556.30415813,redline-smalltalk-master,16,2.0
12.4279746017,11.8058002966,11.613880678,12.658014,12.2612282203,11.3640762627,11.1808482627,11.9656785593,12.4279746017,11.9768356186,11.6840997203,13.4208677203,12.1747534153,11.3367357797,11.8908729492,13.3504218703,gdx-artemis-master,16,2.0
121907.238649,64831.9937184,98894.93405,74556.8801947,31566.3957116,20714.445345,27834.1255015,74471.2356012,121907.238649,61501.0372075,57972.5359621,54094.8767905,30580.7802468,20215.8244451,55954.6599377,65946.6214636,languagetool,16,2.0
37997.9377366,17250.431939,26294.7912873,17474.3320962,12555.0769404,12769.6217327,12401.8110662,22723.3359406,37997.9377366,14719.8999902,17493.1494158,16001.6729235,11803.8023633,11965.9467972,17573.4658074,20057.3956645,hivemall,16,2.0
209.673484148,165.362259761,215.545607476,175.312307806,167.073605467,145.841427082,152.950751435,182.855107146,206.139760401,155.626811859,158.701931624,163.841669157,160.459260706,144.012302752,172.545767494,180.236176963,asterisk-java,16,2.0
80703.5394053,32469.6553044,95752.7601415,31524.2806607,13622.4591595,12640.6483321,12138.0572328,61695.9971397,74084.8292308,25476.635657,27976.2512053,34155.1175567,12713.0441735,10270.4787499,31050.5220302,41946.7757632,chukwa,16,2.0
3852.99553753,1146.36014199,1218.20831643,1509.27849899,2129.93296146,838.473833671,1012.68924949,1465.08772819,3852.99553753,933.49198783,1139.31592292,1002.21044625,2129.93296146,838.504158215,1245.48427992,1322.8012211,la4j,16,2.0
2537.1338928,1025.62680022,1440.46009746,1476.50806714,2062.2269085,928.635571197,1115.85885219,1555.79610179,2384.78733081,933.843205198,1249.97650244,1388.26497022,1937.13649161,837.509962101,1494.2332431,1579.7403974,vraptor_archive,16,2.0
3.22697222222,3.074375,3.24440277778,4.73469444444,3.13751388889,2.88501388889,2.89541666667,3.19679166667,3.20741666667,3.12794444444,3.03419444444,3.23004166667,3.13169444444,2.96676388889,4.200375,4.09402305556,nv-websocket-client,16,2.0
45.8242189349,16.4326627219,20.7492426036,19.2542721893,9.6548816568,8.54801183432,8.45827810651,17.273443787,43.1776863905,13.9519112426,13.3285325444,10.1421952663,9.22721301775,7.95849704142,13.2981360947,15.5788173964,webbit,16,2.0
86.5574626866,55.6845472637,93.8597064677,57.5749502488,45.0731094527,43.4484129353,42.7996268657,57.8977313433,86.5574626866,54.4674378109,55.3914129353,48.8897910448,44.7324925373,42.2661542289,59.1578756219,59.8468765174,spring-retry,16,2.0
179.688190083,98.9716842975,105.845528926,160.870803306,56.5484561983,47.0607057851,46.9289239669,149.828806612,179.688190083,85.2602479339,105.631603306,121.289866116,56.5484561983,45.7521371901,141.844424793,165.015547306,javapoet,16,2.0
2.43184972678,1.68218306011,2.5416420765,3.30060655738,1.88575956284,1.26991803279,1.44068852459,2.87599453552,2.29273770492,1.61472131148,1.79582513661,2.96566393443,1.81239071038,1.31504098361,3.12436612022,3.21270185792,protoparser,16,2.0
1046.61766641,504.598274943,814.846795126,722.542466108,323.882044935,248.362712871,315.124478294,687.380675552,985.445850724,471.312753237,676.319585682,597.07005179,312.805534653,254.183954303,768.275717441,757.874590373,streamex,16,2.0
22.0829677419,21.8447204301,21.7624193548,21.928827957,21.9801290323,21.6823225806,21.5803655914,22.3344623656,22.0829677419,21.785516129,21.8069139785,21.7356236559,22.1053978495,21.6599462366,22.2397849462,22.2515750538,lanterna,16,2.0
12.1081643836,10.596890411,14.8873287671,18.0476027397,11.9204931507,10.3281232877,10.5446164384,15.2426575342,11.8405068493,10.491630137,9.97819178082,13.8152054795,11.3971506849,10.6775479452,14.9670821918,15.1432369863,jumblr,16,2.0
12.9185611511,12.5317410072,12.2150647482,11.8488417266,9.54925899281,8.35014388489,8.52447482014,14.8705611511,12.3681582734,11.8138992806,11.5105611511,11.555971223,9.32548201439,8.12579136691,15.6695323741,14.7332559712,jackson-datatype-guava-v2,16,2.0
6.25323076923,5.33108974359,5.18305128205,6.28197435897,4.50212820513,4.40384615385,4.39358974359,6.07023076923,6.25323076923,5.11529487179,5.0661025641,5.41008974359,4.53002564103,4.43373076923,5.34062820513,6.18428846154,gson-fire-v2,16,2.0
126.627659147,107.813333006,143.236232467,121.877096126,81.8387081903,76.9377655714,82.0348342325,132.149994605,119.067208926,98.5462226582,106.397226582,118.125403139,78.640328102,74.85901128,128.533318784,130.899925689,jackson-core,16,2.0
14.7540243902,12.8747439024,15.1033902439,15.2270487805,13.5873292683,12.2502439024,12.3818292683,13.2285731707,14.6764268293,12.5394146341,13.3599390244,12.789097561,13.2093292683,12.2624146341,14.0775121951,13.6136080488,DiskLruCache,16,2.0
43.35783,43.29525,43.28697,43.12565,43.09278,42.86719,42.72378,43.37367,43.35783,43.374,43.28783,43.48633,43.09918,42.80225,43.33209,43.6419878,java-uuid-generator,16,2.0
