UGT,UGA,UGE,UARP,AGT,AGA,AGE,AARP,SUGT,SUGA,SUGE,SUARP,SAGT,SAGA,SAARP,RANDOM,subject,gn,ts
91784.98217,46565.3317685,38376.6095003,59268.6142726,5232.42410981,9759.77825987,5412.24469082,48963.4947017,91784.98217,44934.0329926,34302.8668732,34194.3164681,5232.42410981,9291.61604205,36622.502095,49091.3652753,stream-lib,4,2.0
26798.6163363,12907.1091239,15112.5152167,15091.9259815,3416.23893768,3801.76239814,3786.95311757,16473.2402312,26325.4206116,11314.0575023,9541.29405909,10450.0685531,3416.23893768,3713.87347712,15406.1627497,15833.1846316,stream-lib,8,2.0
14235.7466536,7030.93120529,9138.63431625,8046.61652316,3016.70617724,3015.12547336,3092.68821912,5592.51536707,11824.0608568,5621.2681831,5180.70483263,5476.69447596,2941.69332842,2936.00461424,6502.99115772,8289.83082829,stream-lib,12,2.0
7372.69592147,4665.43619345,15296.0559128,4827.55261044,2726.87853535,2758.60399216,2951.65137038,5323.66852167,6788.17813567,3898.58151443,3784.91558096,3916.14499002,2699.58992566,2732.31155001,3821.78400885,5465.60492192,stream-lib,16,2.0
543.530127369,570.953111524,629.863526126,664.851424218,331.084417689,313.130796966,361.747558641,390.64968868,466.564372704,596.282406019,576.730189748,531.814701073,303.451932976,286.30977815,463.041575786,642.152627415,LastCalc-0.1,4,2.0
286.320664641,306.626198403,299.187313301,353.428437937,269.808460121,260.660270689,263.158471228,296.06390183,279.268727063,289.658105985,284.693940015,289.975794078,262.521091359,256.930698316,277.797863903,299.276900196,LastCalc-0.1,8,2.0
258.226883146,264.081775393,274.116010874,326.242439141,254.312435243,252.080884908,251.922524578,264.91161016,256.665107272,261.509351112,259.194762286,259.013093854,252.507607816,251.109266898,264.687518806,262.088684378,LastCalc-0.1,12,2.0
252.162711092,253.726897913,255.960675883,252.758261019,250.062886296,249.322958277,249.280161447,252.403384515,251.471486796,253.612696816,253.020138403,251.589955015,249.542400937,249.167289238,252.888361714,252.610967574,LastCalc-0.1,16,2.0
2029.26004987,699.43660444,873.376601864,1077.68508924,1045.04607161,451.15551963,357.73130228,859.604140201,2029.26004987,661.8052745,540.116002071,688.628263583,1045.04607161,447.431910483,883.886839559,920.44356547,rome-1.5.0,4,2.0
995.161104024,303.205173172,655.102529366,480.189986929,534.197751214,220.713813365,198.193475736,518.094718615,995.161104024,280.065030852,238.566223589,320.055512908,534.197751214,219.320805782,525.90544922,472.873497267,rome-1.5.0,8,2.0
