UGE,AGE,UGEm,AGEm
0.0818886,0.2229114,0.0903856,0.117126
0.1523693,0.100072,0.4008911,0.3639768
0.1034449,0.1110854,0.1278209,0.2960045
0.2232842,0.1803594,0.2684254,0.117748
0.1797962,0.3496157,0.1110854,0.1874703
0.0846596,0.104289,0.110659,0.1137842
0.0977258,0.0713204,0.1278209,0.1071359
0.0915742,0.1647055,0.2001799,0.0887638
0.1049066,0.1401212,0.0836243,0.2001799
0.1008115,0.117126,0.1595401,0.1127638
0.0979674,0.0979674,0.1211149,0.138609
0.0846596,0.1057527,0.0762197,0.0929388
0.1312991,0.0965851,0.1027473,0.1901825
6.0,5.5,6.6,5.7
6.5,6.1,5.4,6.1
5.5,6.1,5.5,6.0
5.8,6.3,6.1,5.6
6.4,5.8,6.0,5.7
5.8,5.7,5.6,5.5
6.4,5.7,6.5,6.0
5.5,5.9,5.5,5.8
5.6,5.5,5.8,6.1
5.5,5.7,5.6,5.8
5.8,5.6,6.0,5.6
5.5,5.7,5.5,5.7
6.0,5.4,5.6,5.5
5.7,5.4,5.6,5.6
5.6,5.8,5.6,5.6
5.5,6.1,5.9,5.5
0.10851,0.133772,0.133772,0.10851
0.10851,0.396783,0.9613,0.786117
0.133772,0.10851,0.992334,0.786117
0.9613,0.10851,0.10851,0.10851
0.10851,0.133772,0.10851,0.10851
0.133772,0.10851,0.133772,0.396783
0.133772,0.10851,0.10851,0.133772
0.10851,0.10851,0.786117,0.10851
0.10851,0.10851,0.10851,0.10851
0.10851,0.10851,0.10851,0.133772
0.10851,0.10851,0.10851,0.10851
0.10851,0.10851,0.10851,0.10851
0.10851,0.10851,0.10851,0.10851
0.10851,0.10851,0.10851,0.10851
0.10851,0.10851,0.10851,0.10851
0.133772,0.10851,0.10851,0.10851
0.369671,0.231326,0.336476,0.257918
0.311793,0.336476,0.369671,0.257918
0.231326,0.257918,0.932626,0.231326
0.369671,0.238162,0.336476,0.257918
0.287334,0.231326,0.257918,0.238162
0.257918,0.231326,0.231326,0.231326
0.238162,0.231326,0.311793,0.231326
0.238162,0.231326,0.311793,0.238162
