UGE,AGE,UGEm,AGEm
61.7441558442,40.9863636364,58.7753246753,43.1019480519
55.3805194805,31.7649350649,49.2590909091,34.8967532468
46.9525974026,32.0662337662,54.4350649351,33.3967532468
48.8454545455,31.1564935065,57.9058441558,34.5454545455
42.1324675325,32.6798701299,46.4961038961,32.0103896104
37.1207792208,27.7227272727,41.0279220779,29.9623376623
37.324025974,27.8292207792,39.3194805195,27.2837662338
51.5051948052,27.5857142857,35.9506493506,27.1155844156
39.2720779221,27.5201298701,38.3772727273,27.3155844156
1426.673257,732.997308891,1476.63441148,751.011405862
1560.88931828,716.385223683,1344.53194211,787.10449586
1578.50901389,693.547992225,1352.06308414,743.105322722
1547.64122327,736.553046932,1327.76426362,768.012805752
636.160713795,435.502778916,740.201461311,442.202638594
947.691845967,430.767811814,635.319353526,426.809148816
744.241304738,423.443639903,624.692043887,439.214720123
716.491799417,411.164808646,686.520678624,433.099380553
504.123085719,347.790652374,551.474475088,380.317622965
508.534294277,365.569433241,471.292801844,367.206350305
482.078586271,348.662897459,465.125407997,368.308079187
516.350915411,348.029597701,484.159234973,379.471992041
413.9143991,321.508905807,433.570626743,321.365076205
442.301979304,324.906548417,472.939939546,333.230964849
437.085572978,325.141290847,421.129012605,331.52885201
450.449751608,331.181994967,479.333572022,331.373204462
353.327272727,104.862727273,257.018181818,105.135454545
399.249090909,105.123636364,431.490909091,102.007272727
443.664545455,104.482727273,615.448181818,106.588181818
365.768181818,99.6281818182,333.319090909,104.008181818
124.73,73.8763636364,144.857272727,77.5154545455
155.967272727,70.5445454545,195.928181818,73.2381818182
165.648181818,74.2309090909,95.1154545455,71.8236363636
124.95,73.7918181818,181.555454545,68.7427272727
103.825454545,61.8663636364,100.483636364,65.4863636364
118.322727273,65.3490909091,99.4827272727,68.7509090909
115.59,64.4954545455,148.067272727,66.3554545455
94.4409090909,65.2418181818,88.9081818182,64.6145454545
67.9527272727,60.3054545455,84.0154545455,62.3972727273
76.7763636364,59.1372727273,79.0345454545,59.4418181818
96.2854545455,59.4881818182,68.13,58.5609090909
97.6772727273,57.85,77.4536363636,60.3954545455
60559.1439354,4935.35762588,13736.6755882,5409.01240168
36491.1962668,6166.79860313,57138.1458663,5433.79166633
64268.893332,5548.39783232,36424.4421023,5540.84396252
38376.6095003,5412.24469082,46250.5069252,6989.01577645
21231.6767452,4272.91659034,24931.753068,3816.66617519
12202.4787405,3661.09126321,21695.7609898,3542.30504074
13275.2349153,3745.8777657,31962.8836135,3493.63362595
15112.5152167,3786.95311757,17263.9934833,3561.07379175
15810.8960229,3038.15776841,7038.96599564,3242.14681451
10982.2065978,3225.69203663,19056.5287838,3096.33163958
8077.5848712,3288.33499092,8225.92915079,3000.86287619
9138.63431625,3092.68821912,8627.62816727,2957.11746728
8609.30578805,3005.90841721,4256.73638298,2796.75707363
10928.681843,2798.93747711,4270.49445213,2942.54468855
7522.04086102,2704.54026876,4395.77376106,2803.26370359
15296.0559128,2951.65137038,9215.80349442,2861.03071085
522.480701782,361.801072684,893.408046966,370.652983835
720.187138126,368.172441704,779.21853984,323.020957272
719.073862772,369.252882505,830.743384097,322.981440864
629.863526126,361.747558641,781.022942301,361.853957544
308.428621029,263.787826282,377.302852049,267.415903704
292.90985332,269.078157597,328.578643165,262.367369743
323.45962749,264.800147146,320.186581777,270.604170383
299.187313301,263.158471228,473.502548568,260.199762112
266.504178942,251.660688709,274.583097786,252.026529024
262.985622155,252.906364257,277.997464937,253.274828
264.768594981,251.742298845,270.405558568,252.415005447
274.116010874,251.922524578,292.23551115,252.367013602
255.243166728,249.311835291,310.159582301,249.15773132
255.122953286,248.967382029,263.84224532,249.833235859
259.664015126,248.789152024,257.506845966,249.610825403
255.960675883,249.280161447,253.581501898,248.850622558
875.457611539,346.734628685,1028.58440782,397.943640484
905.683099157,341.392043261,993.717443479,371.467153491
548.873781846,319.487755715,902.531363765,450.467679455
873.376601864,357.73130228,490.316811303,450.115217423
606.955418462,179.818911539,341.034123181,213.886343013
482.282181921,182.068948928,545.166193122,203.287868526
427.860292239,186.964120676,524.833468832,219.738052585
655.102529366,198.193475736,369.711773076,257.85558679
289.342048088,144.351432332,354.255091152,171.757751497
324.60952582,161.484100138,353.627817648,185.170061581
